,1RM%,RPE,percentage,gender,1RM
0,2.5,0.4,10,women,25
1,3.0,0.4,10,women,30
2,2.5,0.4,10,women,25
3,3.5,0.4,10,women,35
4,3.5,0.4,10,women,35
5,4.0,0.4,10,women,40
6,4.0,0.0,10,women,40
7,4.5,0.4,10,women,45
8,3.0,0.4,10,women,30
9,4.0,0.4,10,women,40
10,4.0,0.4,10,women,40
11,4.0,0.4,10,women,40
12,4.0,0.4,10,women,40
13,2.5,0.4,10,women,25
14,3.0,0.4,10,women,30
15,4.5,0.4,10,women,45
16,4.5,0.4,10,women,45
17,5.0,0.4,10,women,50
18,4.0,0.4,10,women,40
19,4.0,0.4,10,women,40
20,2.5,1.0,10,women,25
21,3.0,1.0,10,women,30
22,3.0,0.4,10,women,30
23,3.5,0.4,10,women,35
24,4.5,0.0,10,women,45
25,3.0,0.4,10,women,30
26,4.0,0.4,10,women,40
27,2.5,0.0,10,women,25
28,3.5,0.4,10,women,35
29,5.0,2.0,20,women,25
30,6.0,1.0,20,women,30
31,5.0,1.2666666666666666,20,women,25
32,7.0,0.0,20,women,35
33,7.0,1.2666666666666666,20,women,35
34,8.0,1.2666666666666666,20,women,40
35,8.0,1.2666666666666666,20,women,40
36,9.0,1.2666666666666666,20,women,45
37,6.0,1.0,20,women,30
38,8.0,0.0,20,women,40
39,8.0,1.2666666666666666,20,women,40
40,8.0,1.2666666666666666,20,women,40
41,8.0,1.2666666666666666,20,women,40
42,5.0,0.0,20,women,25
43,6.0,3.0,20,women,30
44,9.0,1.2666666666666666,20,women,45
45,1.0,1.2666666666666666,20,women,45
46,10.0,1.2666666666666666,20,women,50
47,8.0,1.0,20,women,40
48,8.0,1.2666666666666666,20,women,40
49,5.0,1.0,20,women,25
50,6.0,1.2666666666666666,20,women,30
51,6.0,2.0,20,women,30
52,7.0,2.0,20,women,35
53,9.0,1.0,20,women,45
54,6.0,3.0,20,women,30
55,8.0,1.2666666666666666,20,women,40
56,5.0,1.0,20,women,25
57,7.0,1.0,20,women,35
58,7.5,1.6666666666666667,30,women,25
59,9.0,3.0,30,women,30
60,7.5,0.0,30,women,25
61,10.5,1.6666666666666667,30,women,35
62,10.5,0.0,30,women,35
63,12.0,0.0,30,women,40
64,12.0,1.6666666666666667,30,women,40
65,13.5,0.0,30,women,45
66,9.0,1.6666666666666667,30,women,30
67,12.0,1.6666666666666667,30,women,40
68,12.0,0.0,30,women,40
69,12.0,1.6666666666666667,30,women,40
70,12.0,1.0,30,women,40
71,7.5,1.6666666666666667,30,women,25
72,9.0,1.6666666666666667,30,women,30
73,13.5,1.0,30,women,45
74,13.5,1.6666666666666667,30,women,45
75,15.0,1.0,30,women,50
76,12.0,1.6666666666666667,30,women,40
77,12.0,1.0,30,women,40
78,7.5,3.0,30,women,25
79,9.0,1.6666666666666667,30,women,30
80,9.0,1.6666666666666667,30,women,30
81,10.5,1.6666666666666667,30,women,35
82,13.5,4.0,30,women,45
83,9.0,1.6666666666666667,30,women,30
84,12.0,4.0,30,women,40
85,7.5,3.0,30,women,25
86,10.5,4.0,30,women,35
87,10.0,4.0,40,women,25
88,12.0,2.5555555555555554,40,women,30
89,10.0,2.5555555555555554,40,women,25
90,14.0,2.5555555555555554,40,women,35
91,14.0,0.0,40,women,35
92,16.0,2.5555555555555554,40,women,40
93,16.0,1.0,40,women,40
94,18.0,2.5555555555555554,40,women,45
95,12.0,2.5555555555555554,40,women,30
96,16.0,0.0,40,women,40
97,16.0,0.0,40,women,40
98,16.0,2.0,40,women,40
99,16.0,2.5555555555555554,40,women,40
100,10.0,0.0,40,women,25
101,12.0,4.0,40,women,30
102,18.0,4.0,40,women,45
103,18.0,2.0,40,women,45
104,20.0,1.0,40,women,50
105,16.0,2.0,40,women,40
106,16.0,2.0,40,women,40
107,10.0,2.5555555555555554,40,women,25
108,12.0,3.0,40,women,30
109,12.0,5.0,40,women,30
110,14.0,2.5555555555555554,40,women,35
111,18.0,2.5555555555555554,40,women,45
112,12.0,5.0,40,women,30
113,16.0,6.0,40,women,40
114,10.0,2.5555555555555554,40,women,25
115,14.0,5.0,40,women,35
116,12.5,3.9791666666666665,50,women,25
117,15.0,4.0,50,women,30
118,12.5,2.0,50,women,25
119,17.5,3.0,50,women,35
120,17.5,3.9791666666666665,50,women,35
121,20.0,1.0,50,women,40
122,20.0,6.0,50,women,40
123,22.5,2.0,50,women,45
124,15.0,1.2,50,women,30
125,20.0,3.9791666666666665,50,women,40
126,20.0,2.0,50,women,40
127,20.0,2.3,50,women,40
128,20.0,2.0,50,women,40
129,12.5,3.9791666666666665,50,women,25
130,15.0,6.0,50,women,30
131,22.5,3.9791666666666665,50,women,45
132,22.5,1.0,50,women,45
133,25.0,2.0,50,women,50
134,20.0,3.0,50,women,40
135,20.0,5.0,50,women,40
136,12.5,6.0,50,women,25
137,15.0,4.0,50,women,30
138,15.0,5.0,50,women,30
139,17.5,5.0,50,women,35
140,22.5,7.0,50,women,45
141,15.0,5.0,50,women,30
142,20.0,8.0,50,women,40
143,12.5,6.0,50,women,25
144,17.5,7.0,50,women,35
145,15.0,7.0,60,women,25
146,18.0,5.0,60,women,30
147,15.0,4.813333333333333,60,women,25
148,21.0,2.0,60,women,35
149,21.0,1.0,60,women,35
150,24.0,4.813333333333333,60,women,40
151,24.0,4.813333333333333,60,women,40
152,27.0,2.0,60,women,45
153,18.0,7.0,60,women,30
154,24.0,2.0,60,women,40
155,24.0,4.813333333333333,60,women,40
156,24.0,4.813333333333333,60,women,40
157,24.0,4.813333333333333,60,women,40
158,15.0,2.3,60,women,25
159,18.0,4.813333333333333,60,women,30
160,27.0,4.0,60,women,45
161,27.0,4.813333333333333,60,women,45
162,30.0,4.813333333333333,60,women,50
163,24.0,4.813333333333333,60,women,40
164,24.0,4.813333333333333,60,women,40
165,15.0,5.5,60,women,25
166,18.0,4.813333333333333,60,women,30
167,18.0,6.0,60,women,30
168,21.0,5.0,60,women,35
169,27.0,7.8,60,women,45
170,18.0,4.813333333333333,60,women,30
171,24.0,7.8,60,women,40
172,15.0,4.813333333333333,60,women,25
173,21.0,7.8,60,women,35
174,17.5,5.694444444444445,70,women,25
175,21.0,5.694444444444445,70,women,30
176,17.5,4.0,70,women,25
177,24.5,3.0,70,women,35
178,24.5,2.0,70,women,35
179,28.0,4.5,70,women,40
180,28.0,5.694444444444445,70,women,40
181,31.499999999999996,5.694444444444445,70,women,45
182,21.0,5.694444444444445,70,women,30
183,28.0,7.0,70,women,40
184,28.0,4.0,70,women,40
185,28.0,5.0,70,women,40
186,28.0,5.0,70,women,40
187,17.5,5.694444444444445,70,women,25
188,21.0,7.0,70,women,30
